STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESF,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/1/2015,9.4,0,,,,29,14,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/2/2015,12.3,0,,,,33,21,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/3/2015,5.82,0.47,,,,29,16,,,1,1,,,,1,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/4/2015,5.37,0.66,,,,45,28,,,1,1,,,,1,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/5/2015,18.12,0,,,,37,8,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/6/2015,4.92,0,,,,13,5,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/7/2015,13.87,0,,,,15,-6,,,1,,,,,,1,1,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/8/2015,8.5,0,,,,15,-9,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/9/2015,13.2,0.06,,,,23,11,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/10/2015,7.83,0,,,,15,-1,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/11/2015,2.46,0,,,,28,-4,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/12/2015,4.92,0.44,,,,33,25,,,1,,,,,1,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/13/2015,6.04,0,,,,28,-6,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/14/2015,1.12,0,,,,23,-11,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/15/2015,3.58,0,,,,22,6,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/16/2015,12.3,0,,,,30,6,,,1,1,,,,,1,1,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/17/2015,5.82,0,,,,22,-1,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/18/2015,6.93,1.3,,,,41,22,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/19/2015,12.97,0,,,,34,25,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/20/2015,9.17,0,,,,27,14,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/21/2015,2.01,0,,,,27,6,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/22/2015,4.47,0,,,,28,18,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/23/2015,6.49,0,,,,29,17,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/24/2015,5.14,0.14,,,,34,24,,,1,1,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/25/2015,14.54,0.01,,,,31,11,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/26/2015,7.83,0,,,,20,8,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/27/2015,12.3,0.16,,,,17,6,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/28/2015,10.51,0,,,,20,8,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/29/2015,4.47,0.02,,,,33,-6,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/30/2015,11.63,0.1,,,,28,5,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,1/31/2015,11.41,0,,,,11,-5,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/1/2015,4.7,0,,,,24,4,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/2/2015,11.41,0.36,,,,18,0,,,1,1,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/3/2015,4.7,0,,,,18,-5,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/4/2015,4.47,0,,,,33,-3,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/5/2015,10.74,0.24,,,,31,0,,,1,1,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/6/2015,7.61,0,,,,16,-9,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/7/2015,5.37,0,,,,24,16,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/8/2015,6.49,0.23,,,,26,15,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/9/2015,12.08,0.09,,,,19,15,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/10/2015,5.82,0,,,,34,11,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/11/2015,1.12,0,,,,28,0,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/12/2015,8.72,0.03,,,,26,7,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/13/2015,12.97,0.01,,,,7,-8,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/14/2015,3.36,0.12,,,,19,-7,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/15/2015,16.11,0.01,,,,16,-9,,,1,1,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/16/2015,11.18,0,,,,7,-12,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/17/2015,1.79,0,,,,24,1,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/18/2015,2.24,0.01,,,,29,-9,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/19/2015,15.21,0.51,,,,18,0,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/20/2015,13.42,0.37,,,,10,-7,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/21/2015,8.05,0.07,,,,25,-14,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/22/2015,5.59,0.01,,,,35,20,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/23/2015,15.21,0.55,,,,24,-3,,,1,,,,,,1,1,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/24/2015,7.83,0,,,,17,-10,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/25/2015,8.28,0,,,,28,3,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/26/2015,4.7,0,,,,19,9,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/27/2015,7.83,0,,,,19,3,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/28/2015,6.71,0,,,,22,1,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/1/2015,2.46,0.11,,,,22,-6,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/2/2015,16.11,0.01,,,,27,16,,,1,,,,,,1,1,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/3/2015,6.04,0.29,,,,31,5,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/4/2015,8.05,0,,,,35,30,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/5/2015,11.41,0,,,,30,7,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/6/2015,4.92,0,,,,21,1,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/7/2015,4.47,0,,,,32,-4,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/8/2015,8.05,0.02,,,,34,17,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/9/2015,6.93,0,,,,41,12,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/10/2015,3.36,0.08,,,,48,17,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/11/2015,13.42,0,,,,46,34,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/12/2015,16.11,0,,,,36,21,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/13/2015,4.25,0,,,,38,13,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/14/2015,2.68,0.19,,,,38,29,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/15/2015,16.55,0,,,,37,27,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/16/2015,4.92,0,,,,42,25,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/17/2015,11.41,0.1,,,,40,23,,,1,1,,,,,,,
